Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/05 5:57:32 PM GMT+3,Canada,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Air,Vertebrates;Invertebrates;Plants/Macroalgae,5 - extensive development needed,5 - extensive development needed,1 - little development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,Email
2023/09/05 6:08:37 PM GMT+3,United States,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Marine ecosystems,Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,3,5 - extensive development needed,Email
2023/09/05 6:10:54 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Data Interpretation (e.g., modelling, assessment of ecological status);Development and testing of methods and interpretations",,,Freshwater ecosystems,Water,Vertebrates,3,4,4,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/05 6:51:16 PM GMT+3,Peru,researcher (academic),< 2 years,Master/Undergraduate,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates,1 - little development needed,3,3,5 - extensive development needed,4,5 - extensive development needed,3,5 - extensive development needed,3,3,Social media
2023/09/05 6:51:54 PM GMT+3,United States,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Water,Vertebrates;Invertebrates,3,3,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/05 7:00:54 PM GMT+3,United States,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Marine ecosystems,Water,Vertebrates;Invertebrates,4,3,5 - extensive development needed,4,3,4,4,5 - extensive development needed,4,4,Email
2023/09/05 7:34:51 PM GMT+3,United States,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,Water,Vertebrates,4,1 - little development needed,1 - little development needed,2,2,3,4,5 - extensive development needed,4,4,Email
2023/09/05 7:52:19 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Prokaryotes,3,No idea,No idea,No idea,No idea,No idea,No idea,3,3,No idea,Email
2023/09/05 8:08:10 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,1 - little development needed,1 - little development needed,1 - little development needed,4,4,4,3,3,3,4,Email
2023/09/05 8:33:38 PM GMT+3,Finland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Soil;Water,Micro-eukaryotes;Prokaryotes,5 - extensive development needed,3,No idea,4,No idea,5 - extensive development needed,No idea,5 - extensive development needed,4,No idea,Email
2023/09/05 8:45:30 PM GMT+3,Colombia,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,1 - little development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/05 9:28:26 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,2,5 - extensive development needed,4,3,4,4,No idea,3,3,3,Email
2023/09/05 9:59:14 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water;Biofilm,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,4,3,1 - little development needed,5 - extensive development needed,3,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/05 10:21:57 PM GMT+3,United States,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,Water,Vertebrates;Invertebrates;Prokaryotes,4,3,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/05 10:34:53 PM GMT+3,Denmark,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Sediment,Vertebrates,5 - extensive development needed,1 - little development needed,No idea,5 - extensive development needed,No idea,3,2,3,2,4,Email
2023/09/06 12:05:51 AM GMT+3,Canada,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Air,Micro-eukaryotes,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/06 2:20:59 AM GMT+3,Australia,researcher (academic),< 2 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil,Vertebrates;Plants/Macroalgae;Micro-eukaryotes,4,4,3,3,5 - extensive development needed,5 - extensive development needed,No idea,No idea,3,4,Social media
2023/09/06 2:25:26 AM GMT+3,Japan,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,3,5 - extensive development needed,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/06 4:39:31 AM GMT+3,New Zealand,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Air;Water,Vertebrates;Micro-eukaryotes;Prokaryotes,3,3,3,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,4,4,Email
2023/09/06 4:44:13 AM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water,Vertebrates,4,No idea,5 - extensive development needed,3,5 - extensive development needed,No idea,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/06 5:31:47 AM GMT+3,"Korea, South",researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation)",,,Terrestrial ecosystems,Soil,Invertebrates,5 - extensive development needed,4,2,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,No idea,No idea,No idea,Email
2023/09/06 7:05:53 AM GMT+3,China,researcher (academic),2-5 years,Doctoral student,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Invertebrates,4,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,3,5 - extensive development needed,4,3,Email
2023/09/06 8:55:51 AM GMT+3,New Zealand,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Air;Biofilm,Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,5 - extensive development needed,2,2,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/06 9:25:10 AM GMT+3,Spain,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Soil;Sediment;Water,Micro-eukaryotes;Prokaryotes,1 - little development needed,3,4,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Social media
2023/09/06 9:41:34 AM GMT+3,Italy,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment,Micro-eukaryotes,2,4,3,5 - extensive development needed,2,3,4,4,2,2,Email
2023/09/06 10:59:20 AM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Soil;Water,Invertebrates,3,4,No idea,5 - extensive development needed,No idea,5 - extensive development needed,4,5 - extensive development needed,3,4,Social media
2023/09/06 11:27:47 AM GMT+3,Switzerland,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Micro-eukaryotes,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,No idea,No idea,No idea,No idea,Email
2023/09/06 11:55:04 AM GMT+3,Spain,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,1 - little development needed,No idea,1 - little development needed,2,5 - extensive development needed,No idea,2,5 - extensive development needed,2,3,Email
2023/09/06 12:15:31 PM GMT+3,Japan,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,1 - little development needed,Email
2023/09/06 12:51:02 PM GMT+3,Italy,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);technology development",,,Marine ecosystems,Sediment;Water,Vertebrates,4,2,2,5 - extensive development needed,3,4,3,2,3,5 - extensive development needed,Email
2023/09/06 2:02:39 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,2,4,4,5 - extensive development needed,2,2,4,5 - extensive development needed,2,5 - extensive development needed,Email
2023/09/06 2:12:27 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae,3,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/06 3:16:39 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Terrestrial ecosystems,Soil,Vertebrates;Plants/Macroalgae;Micro-eukaryotes,5 - extensive development needed,2,4,3,1 - little development needed,2,2,5 - extensive development needed,5 - extensive development needed,3,Email
2023/09/06 5:20:19 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Invertebrates;Plants/Macroalgae;Micro-eukaryotes,3,3,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/06 5:21:20 PM GMT+3,Luxembourg,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,3,3,5 - extensive development needed,4,4,5 - extensive development needed,4,4,5 - extensive development needed,Email
2023/09/06 5:51:37 PM GMT+3,France,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Biofilm,Micro-eukaryotes;Prokaryotes,1 - little development needed,No idea,3,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,Social media
2023/09/06 7:28:18 PM GMT+3,United States,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,5 - extensive development needed,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,4,Email
2023/09/06 8:23:54 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,1 - little development needed,1 - little development needed,1 - little development needed,5 - extensive development needed,4,4,No idea,No idea,4,4,Email
2023/09/06 8:49:47 PM GMT+3,United States,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Prokaryotes,5 - extensive development needed,No idea,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/06 10:08:05 PM GMT+3,United States,end-user (governmental organisation or similar),> 5 years,,,NOAA affiliate,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Marine ecosystems,Sediment;Water,Micro-eukaryotes;Prokaryotes,3,3,4,5 - extensive development needed,3,3,4,3,4,4,Email
2023/09/06 10:17:50 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,3,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,3,3,Email
2023/09/07 12:52:38 AM GMT+3,United States,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Air,Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,3,4,No idea,5 - extensive development needed,4,4,No idea,5 - extensive development needed,4,3,PI forwarded the email
2023/09/07 1:12:19 AM GMT+3,United States,service provider (commercial sector),> 5 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,Soil;Sediment;Air;Water;Biofilm,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,2,3,4,5 - extensive development needed,1 - little development needed,5 - extensive development needed,4,3,1 - little development needed,4,Social media
2023/09/07 1:18:54 AM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates,2,3,3,4,4,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 3:35:48 AM GMT+3,Japan,end-user (governmental organisation or similar),> 5 years,,,Non-governmental worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Marine ecosystems,Sediment;Water,Vertebrates;Plants/Macroalgae,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 3:47:36 AM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Invertebrates;Plants/Macroalgae,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 5:37:44 AM GMT+3,Japan,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae,3,4,4,5 - extensive development needed,3,3,3,4,5 - extensive development needed,4,Email
2023/09/07 5:48:58 AM GMT+3,Japan,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);Development of eDNA sample collection tool",,,Marine ecosystems,Water,Vertebrates;Invertebrates,5 - extensive development needed,5 - extensive development needed,1 - little development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/07 6:19:36 AM GMT+3,Japan,researcher (academic),< 2 years,Master/Undergraduate,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Water,Vertebrates,5 - extensive development needed,No idea,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,2,Email
